tag;mann;frau
15. Nov;446;846
16. Nov;447;847
17. Nov;448;848
18. Nov;449;849
19. Nov;450;850
20. Nov;451;851
21. Nov;452;852
22. Nov;453;853
23. Nov;454;854
24. Nov;455;855
25. Nov;456;856
26. Nov;457;857
27. Nov;458;858
28. Nov;459;859
29. Nov;460;860
30. Nov;461;861
01. Dez;463;863
02. Dez;464;864
03. Dez;465;865
04. Dez;466;866
05. Dez;467;867
06. Dez;468;868
07. Dez;469;869
08. Dez;470;870
09. Dez;471;871
10. Dez;472;872
11. Dez;473;873
12. Dez;474;874
13. Dez;475;875
14. Dez;476;876
15. Dez;477;877
16. Dez;478;878
17. Dez;479;879
18. Dez;480;880
19. Dez;481;881
20. Dez;482;882
21. Dez;483;883
22. Dez;484;884
23. Dez;485;885
24. Dez;486;886
25. Dez;487;887
26. Dez;488;888
27. Dez;489;889
28. Dez;490;890
29. Dez;491;891
30. Dez;492;892
31. Dez;493;893
